Latitide,39.47276
Longitude,-105.0622
Elevation,1801
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2023-01-06T06:00,-5.8,72,0,4.9,231,96,0,35,46.4342253621913,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T07:00,-5.4,69,0,5.17,227,100,0,35,46.5961900662863,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T08:00,-4.3,67,0,5.09,225,39,0,35,46.7852131965205,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T09:00,-4.7,66,0,4.74,222,40,0,35,46.9809347206286,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T10:00,-4.4,64,0,4.19,230,4,0,35,47.1999820406432,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T11:00,-4.4,64,0,3.75,228,3,0,35,47.4180647829525,80.7903767707849,6,15,1.51174289740466,6,0
2023-01-06T12:00,-4.6,68,0,4.11,229,2,0,35,47.5916876303789,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T13:00,-5.9,72,0,3.12,230,0,0,35,47.7203773004599,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T14:00,-7.8,80,0,3.39,225,0,0,35,47.7847237176789,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T15:00,-8.1,79,0,4.17,226,0,9,35,47.854115183801,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T16:00,-5.2,69,0,4.04,222,11,105,35,48.0125907903211,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T17:00,-1,62,0,2.7,219,100,226,40,48.2838375688285,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T18:00,1.9,61,0,1.14,232,100,53,60,48.6013695325871,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T19:00,2.2,69,0.1,1.06,221,100,23,105,47.6254346305688,80.8366936871303,6,15,1.53110215348053,6,0
2023-01-06T20:00,3.7,63,0,0.64,231,100,38,45,47.9391029698668,80.8366936871303,6,15,1.53110215348053,6,0
