u,v,W,f_demand,f_topo,f_redundancy,edge_type,travel_time,length,num_lanes,speed
9497798306,cluster_11448987091_9300932034,0.10820118418866573,0.005774838012958962,0.01771255060728745,0.5,highway.residential,5.302375809935206,73.65,2,13.89
9497798306,11221078067,0.1032398009373825,0.001924946004319654,0.0075910931174089065,0.5,highway.residential,2.4211663066954645,33.63,2,13.89
9497798306,cluster_9497798311_9873795566,0.1,0.0,0.0,0.5,highway.residential,4.605471562275017,64.0,2,13.89
10289407136,cluster_9497798311_9873795566,0.1,0.0,0.0,0.5,highway.residential,4.403167746580273,61.16,2,13.89
10289407136,10289407134,0.10077628992109781,0.0006416486681065514,0.0015182186234817814,0.5,highway.residential,16.136069114470843,224.13,2,13.89
10289407136,9873795549,0.10185622356689199,0.0012832973362131028,0.004048582995951417,0.5,highway.residential,6.001439884809215,83.36,2,13.89
cluster_9497798311_9873795566,11221078049,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,4.642908567314614,64.49,1,13.89
10289407134,9497798319,0.1,0.0,0.0,0.5,highway.residential,5.550755939524837,78.16,2,13.89
10289407121,11251655448,0.1032398009373825,0.001924946004319654,0.0075910931174089065,0.5,highway.residential,7.593952483801296,113.52,2,13.89
10289407121,10289407133,0.10060728744939272,0.0,0.0020242914979757085,0.5,highway.residential,8.549316054715623,118.75,2,13.89
10289407121,10289407120,0.10337444219037377,0.0012832973362131028,0.009109311740890687,0.5,highway.residential,5.097912167026638,70.91,2,13.89
10289407133,9497798319,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,5.12455003599712,71.18,2,13.89
88420631,88420624,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,5.112311015118791,72.44,2,13.89
88420624,88479583,0.20215986729158836,0.0012832973362131028,0.005060728744939271,1.0,highway.residential,10.76313894888409,149.94,2,13.89
88425883,88425810,0.2,0.0,0.0,1.0,highway.residential,129.43340532757378,1797.83,2,13.89
88425810,559859690,0.2,0.0,0.0,1.0,highway.residential,7.651547876169906,106.28,2,13.89
88425810,88503257,0.2,0.0,0.0,1.0,highway.residential,110.99424046076314,1541.71,2,13.89
cluster_3253246393_88427431,88427429,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.8927285817134627,54.07,2,13.89
cluster_3253246393_88427431,cluster_3253246394_88428784,0.12051873927008916,0.012191324694024477,0.04807692307692308,0.5,highway.residential,4.759539236861051,66.19,2,13.89
cluster_3253246393_88427431,88539769,0.11727893833270667,0.010266378689704822,0.04048582995951417,0.5,highway.residential,3.1252699784017275,43.41,2,13.89
cluster_3253246393_88427431,88427433,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.4420446364290855,47.81,2,13.89
cluster_2375198138_88427440,88427437,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.115190784737221,43.27,2,13.89
cluster_2375198138_88427440,88536586,0.1,0.0,0.0,0.5,highway.residential,6.876889848812095,95.52,2,13.89
cluster_2375198138_88427440,cluster_3253246385_88427446,0.1032398009373825,0.001924946004319654,0.0075910931174089065,0.5,highway.residential,4.211663066954643,58.5,2,13.89
